ID,In VCF?,Li,Na,Mg,P,S,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd
TRO_1,y,0.000276644,6.002318709,19.44211847,1.772698985,2.292969757,6.47903643,450.5467681,1.867612092,27.75565913,0.033912579,0.435251542,1.876283141,11.52052885,0.060050968,0.176229217,0.006454174,1.206389904,0.004404128,0.01777971
TRO_2,n,0.000437754,4.557451072,20.90144955,1.9197536,6.642370415,5.947339218,429.0757356,2.095644311,29.97887621,0.039211761,0.474070627,1.936523188,0.159530753,0.071908626,0.160564829,0.007469586,1.194196602,0.004381875,0.018244397
TRO_3,y,0.000497105,4.902778345,20.52822422,2.449419661,-0.212205641,7.696075704,413.9075762,2.17100136,28.41853974,0.041969086,0.466622841,1.879946374,4.771375718,0.070082699,0.119888142,0.010088845,1.059137075,0.004236662,0.010873061
TRO_5,Avg,0.000403834,5.154182709,20.29059741,2.047290749,2.90771151,6.707483784,431.1766933,2.044752588,28.71769169,0.038364475,0.458648337,1.897584234,5.483811774,0.067347431,0.152227396,0.008004202,1.153241194,0.004340888,0.015632389
TRO_9,Avg,0.000403834,5.154182709,20.29059741,2.047290749,2.90771151,6.707483784,431.1766933,2.044752588,28.71769169,0.038364475,0.458648337,1.897584234,5.483811774,0.067347431,0.152227396,0.008004202,1.153241194,0.004340888,0.015632389
TYNE_B_1,n,0.003072502,4.100683517,18.28718865,4.377280439,8.526019985,17.29675297,540.5425725,9.960789112,108.027697,0.046239657,0.61314039,3.454006257,293.0655614,0.511386456,0.283587985,0.405878411,2.352896642,0.006190962,1.301387475
TYNE_B_2,n,0.003346012,4.379624145,19.39099395,3.684766171,18.90389789,18.28736607,560.1259134,10.3765305,108.2141219,0.049992545,0.612536618,3.189920928,171.1755009,0.350544188,0.22696974,0.440796621,2.38578717,0.006463014,1.00152395
TYNE_B_3,n,0.004640348,2.473493548,18.21732556,4.773102425,10.17338734,16.98184531,507.4732288,10.00959811,104.9313577,0.0598865,0.60201973,3.271134438,318.0595361,0.512682286,0.338578875,0.426787453,2.54351295,0.011312727,1.524168065
TYNE_C_1,n,0.003261095,5.101833289,18.13258645,6.336582026,17.88384992,22.77777416,493.0619329,20.93780238,172.6088739,0.091257499,1.39416192,4.307643492,343.1723148,0.482437882,0.327560763,0.401767513,1.846937278,0.009484998,1.775969684
TYNE_C_2,n,0.002750874,4.739427201,17.54291107,6.805880239,18.34857531,21.67613835,461.4300474,21.71957435,170.0959161,0.096897799,1.339585492,4.008829604,351.2424424,0.479678477,0.442844877,0.382840122,1.781528785,0.009636477,1.790210409
